,magnetogram,T_REC,region_type,region_no,label
53970,/SUM81/D754426179/S00000/magnetogram.fits,2015-09-21 08:00:00,harp,5970,False
54343,/SUM74/D756801609/S00000/magnetogram.fits,2015-09-29 22:24:00,harp,5983,True
5686,/SUM85/D1043285111/S00000/magnetogram.fits,2011-08-07 19:12:00,harp,753,True
41268,/SUM18/D640118161/S00000/magnetogram.fits,2014-10-26 22:24:00,harp,4733,False
44064,/SUM17/D665563712/S00000/magnetogram.fits,2014-12-21 04:48:00,harp,4941,True
16956,/SUM90/D1039665660/S00000/magnetogram.fits,2012-08-22 16:00:00,harp,1943,False
53466,/SUM82/D747035616/S00000/magnetogram.fits,2015-08-27 20:48:00,harp,5885,True
11681,/SUM95/D1037751422/S00000/magnetogram.fits,2012-01-18 12:48:00,harp,1321,True
25151,/SUM86/D1039248369/S00000/magnetogram.fits,2013-06-03 01:36:00,harp,2812,False
33926,/SUM65/D542005619/S00000/magnetogram.fits,2014-01-18 11:12:00,harp,3635,False
54289,/SUM77/D756247398/S00000/magnetogram.fits,2015-09-27 14:24:00,harp,5982,True
29445,/SUM92/D1038575046/S00000/magnetogram.fits,2013-10-12 20:48:00,harp,3263,True
35735,/SUM55/D559284055/S00000/magnetogram.fits,2014-03-28 11:12:00,harp,3912,False
24288,/SUM91/D1037830583/S00000/magnetogram.fits,2013-05-07 04:48:00,harp,2718,False
12858,/SUM90/D1039247259/S00000/magnetogram.fits,2012-03-09 17:36:00,harp,1449,True
13024,/SUM92/D1040572015/S00000/magnetogram.fits,2012-04-04 03:12:00,harp,1514,False
43685,/SUM68/D665614104/S00000/magnetogram.fits,2014-12-14 17:36:00,harp,4920,True
67625,/SUM67/D1258012852/S00000/magnetogram.fits,2020-01-04 01:36:00,harp,7401,False
39155,/SUM3/D599277271/S00000/magnetogram.fits,2014-07-12 17:36:00,harp,4328,False
49668,/SUM82/D715816063/S00000/magnetogram.fits,2015-05-10 03:12:00,harp,5543,False
31714,/SUM89/D1041718882/S00000/magnetogram.fits,2013-12-06 17:36:00,harp,3437,True
14255,/SUM93/D1043204259/S00000/magnetogram.fits,2012-05-18 08:00:00,harp,1657,False
63332,/SUM90/D1013530075/S00000/magnetogram.fits,2017-04-02 01:36:00,harp,6972,True
19559,/SUM93/D1044606608/S00000/magnetogram.fits,2012-11-21 08:00:00,harp,2220,True
1630,/SUM94/D1043274128/S00000/magnetogram.fits,2011-02-15 17:36:00,harp,377,True
41613,/SUM17/D641156699/S00000/magnetogram.fits,2014-11-01 03:12:00,harp,4750,False
15861,/SUM86/D1037961204/S00000/magnetogram.fits,2012-07-06 08:00:00,harp,1807,True
1791,/SUM92/D1043640257/S00000/magnetogram.fits,2011-03-07 16:00:00,harp,393,True
34406,/SUM57/D541969344/S00000/magnetogram.fits,2014-02-03 22:24:00,harp,3688,True
40807,/SUM17/D634265377/S00000/magnetogram.fits,2014-10-20 19:12:00,harp,4698,True
18863,/SUM93/D1043553839/S00000/magnetogram.fits,2012-11-02 08:00:00,harp,2166,False
2058,/SUM95/D1044092275/S00000/magnetogram.fits,2011-03-14 14:24:00,harp,407,True
45437,/SUM53/D664227291/S00000/magnetogram.fits,2015-01-09 19:12:00,harp,5036,False
58451,/SUM72/D814879752/S00000/magnetogram.fits,2016-04-04 01:36:00,harp,6470,False
30345,/SUM97/D1039618805/S00000/magnetogram.fits,2013-11-03 01:36:00,harp,3321,True
34292,/SUM42/D541955322/S00000/magnetogram.fits,2014-02-01 19:12:00,harp,3686,True
60384,/SUM84/D998637147/S00000/magnetogram.fits,2016-07-18 06:24:00,harp,6666,False
56618,/SUM74/D784419629/S00000/magnetogram.fits,2015-12-30 08:00:00,harp,6205,False
43028,/SUM45/D662255774/S00000/magnetogram.fits,2014-12-05 04:48:00,harp,4872,False
30321,/SUM95/D1039603433/S00000/magnetogram.fits,2013-11-01 09:36:00,harp,3321,True
16259,/SUM90/D1038580876/S00000/magnetogram.fits,2012-08-02 14:24:00,harp,1877,False
51240,/SUM75/D724628250/S00000/magnetogram.fits,2015-06-21 16:00:00,harp,5673,True
34284,/SUM70/D541903358/S00000/magnetogram.fits,2014-02-01 06:24:00,harp,3686,True
56698,/SUM83/D782647074/S00000/magnetogram.fits,2015-12-25 17:36:00,harp,6210,False
61862,/SUM88/D1006915041/S00000/magnetogram.fits,2016-11-09 04:48:00,harp,6831,False
40815,/SUM18/D634568629/S00000/magnetogram.fits,2014-10-21 09:36:00,harp,4698,True
54297,/SUM77/D755896679/S00000/magnetogram.fits,2015-09-26 19:12:00,harp,5983,True
68151,/SUM37/D1308007499/S00000/magnetogram.fits,2020-06-09 04:48:00,harp,7419,False
8996,/SUM93/D1041312191/S00000/magnetogram.fits,2011-11-16 08:00:00,harp,1041,False
29837,/SUM90/D1039057585/S00000/magnetogram.fits,2013-10-24 06:24:00,harp,3291,True
45151,/SUM35/D662007540/S00000/magnetogram.fits,2015-01-03 22:24:00,harp,5011,True
29255,/SUM84/D1038418211/S00000/magnetogram.fits,2013-10-16 19:12:00,harp,3258,True
49317,/SUM83/D707533591/S00000/magnetogram.fits,2015-05-05 03:12:00,harp,5526,True
57488,/SUM75/D796849969/S00000/magnetogram.fits,2016-02-10 14:24:00,harp,6313,False
33116,/SUM86/D1044251972/S00000/magnetogram.fits,2014-01-06 11:12:00,harp,3563,True
1676,/SUM94/D1043383169/S00000/magnetogram.fits,2011-02-17 11:12:00,harp,384,True
40843,/SUM10/D635182036/S00000/magnetogram.fits,2014-10-23 06:24:00,harp,4698,True
28875,/SUM98/D1037985197/S00000/magnetogram.fits,2013-10-02 09:36:00,harp,3244,False
30892,/SUM89/D1040498774/S00000/magnetogram.fits,2013-11-15 19:12:00,harp,3364,True
39364,/SUM16/D602046917/S00000/magnetogram.fits,2014-07-21 00:00:00,harp,4374,False
20409,/SUM94/D1038262913/S00000/magnetogram.fits,2013-01-11 11:12:00,harp,2341,False
19560,/SUM92/D1044607274/S00000/magnetogram.fits,2012-11-21 09:36:00,harp,2220,True
43684,/SUM4/D665611876/S00000/magnetogram.fits,2014-12-14 16:00:00,harp,4920,True
26795,/SUM95/D1042054558/S00000/magnetogram.fits,2013-08-02 01:36:00,harp,3011,False
62574,/SUM87/D1009545417/S00000/magnetogram.fits,2017-01-22 09:36:00,harp,6922,False
39707,/SUM53/D606158903/S00000/magnetogram.fits,2014-08-01 20:48:00,harp,4398,False
44057,/SUM70/D665555914/S00000/magnetogram.fits,2014-12-20 17:36:00,harp,4941,True
12192,/SUM98/D1038370841/S00000/magnetogram.fits,2012-02-02 06:24:00,harp,1367,False
43710,/SUM16/D665779337/S00000/magnetogram.fits,2014-12-18 19:12:00,harp,4920,True
35405,/SUM54/D558526681/S00000/magnetogram.fits,2014-03-26 11:12:00,harp,3875,False
37349,/SUM59/D580648758/S00000/magnetogram.fits,2014-05-23 20:48:00,harp,4138,True
2059,/SUM85/D1044092950/S00000/magnetogram.fits,2011-03-14 16:00:00,harp,407,True
47261,/SUM20/D688303200/S00000/magnetogram.fits,2015-03-13 16:00:00,harp,5298,True
52727,/SUM76/D739584091/S00000/magnetogram.fits,2015-08-04 19:12:00,harp,5823,False
10340,/SUM94/D1043691777/S00000/magnetogram.fits,2011-12-13 22:24:00,harp,1168,False
32894,/SUM96/D1043728938/S00000/magnetogram.fits,2013-12-31 12:48:00,harp,3535,True
57611,/SUM77/D798147409/S00000/magnetogram.fits,2016-02-14 08:00:00,harp,6327,True
57587,/SUM72/D797508920/S00000/magnetogram.fits,2016-02-12 08:00:00,harp,6327,True
42209,/SUM7/D642005685/S00000/magnetogram.fits,2014-11-08 19:12:00,harp,4781,True
30336,/SUM97/D1039613709/S00000/magnetogram.fits,2013-11-02 11:12:00,harp,3321,True
30913,/SUM93/D1040516959/S00000/magnetogram.fits,2013-11-17 04:48:00,harp,3364,True
37357,/SUM3/D581013201/S00000/magnetogram.fits,2014-05-24 09:36:00,harp,4138,True
54465,/SUM72/D755893034/S00000/magnetogram.fits,2015-09-26 19:12:00,harp,5987,False
30109,/SUM84/D1039375484/S00000/magnetogram.fits,2013-10-28 09:36:00,harp,3311,True
25032,/SUM87/D1039173566/S00000/magnetogram.fits,2013-05-31 06:24:00,harp,2809,True
57595,/SUM81/D797837455/S00000/magnetogram.fits,2016-02-13 01:36:00,harp,6327,True
62620,/SUM88/D1009514311/S00000/magnetogram.fits,2017-01-25 11:12:00,harp,6922,False
43060,/SUM99/D662278652/S00000/magnetogram.fits,2014-11-30 12:48:00,harp,4874,True
64259,/SUM98/D1018907307/S00000/magnetogram.fits,2017-07-08 22:24:00,harp,7075,True
55422,/SUM79/D766682374/S00000/magnetogram.fits,2015-10-31 11:12:00,harp,6064,False
66853,/SUM35/D1165015549/S00000/magnetogram.fits,2019-03-24 11:12:00,harp,7351,False
34296,/SUM55/D541840668/S00000/magnetogram.fits,2014-02-02 01:36:00,harp,3686,True
34397,/SUM57/D541923250/S00000/magnetogram.fits,2014-02-03 08:00:00,harp,3688,True
38020,/SUM4/D584955992/S00000/magnetogram.fits,2014-06-04 06:24:00,harp,4201,False
52792,/SUM83/D738032173/S00000/magnetogram.fits,2015-07-30 14:24:00,harp,5830,False
24343,/SUM92/D1037861324/S00000/magnetogram.fits,2013-05-11 01:36:00,harp,2718,False
12114,/SUM84/D1038174325/S00000/magnetogram.fits,2012-02-02 14:24:00,harp,1348,False
1151,/SUM85/D1035769503/S00000/magnetogram.fits,2011-01-16 14:24:00,harp,342,False
55579,/SUM80/D769632161/S00000/magnetogram.fits,2015-11-10 09:36:00,harp,6075,False
61679,/SUM93/D1006596797/S00000/magnetogram.fits,2016-10-31 04:48:00,harp,6824,False
30671,/SUM98/D1040138250/S00000/magnetogram.fits,2013-11-07 11:12:00,harp,3341,True
41384,/SUM1/D641146156/S00000/magnetogram.fits,2014-11-03 16:00:00,harp,4733,False
26281,/SUM92/D1041278107/S00000/magnetogram.fits,2013-07-21 14:24:00,harp,2964,False
13677,/SUM89/D1042002789/S00000/magnetogram.fits,2012-04-26 12:48:00,harp,1603,True
43094,/SUM34/D662242131/S00000/magnetogram.fits,2014-12-04 22:24:00,harp,4874,True
60754,/SUM85/D999220400/S00000/magnetogram.fits,2016-08-16 00:00:00,harp,6699,False
49171,/SUM73/D705331500/S00000/magnetogram.fits,2015-04-30 09:36:00,harp,5492,False
4123,/SUM90/D1040756894/S00000/magnetogram.fits,2011-06-06 01:36:00,harp,651,False
5151,/SUM93/D1042555652/S00000/magnetogram.fits,2011-07-23 09:36:00,harp,725,False
53431,/SUM74/D745846759/S00000/magnetogram.fits,2015-08-23 17:36:00,harp,5885,True
1653,/SUM91/D1043299133/S00000/magnetogram.fits,2011-02-18 04:48:00,harp,377,True
54899,/SUM80/D761424495/S00000/magnetogram.fits,2015-10-12 19:12:00,harp,6010,False
37118,/SUM94/D1114107789/D579209411/S00000/magnetogram.fits,2014-05-19 14:24:00,harp,4123,False
7020,/SUM90/D1037344867/S00000/magnetogram.fits,2011-09-10 04:48:00,harp,833,True
43071,/SUM69/D662292490/S00000/magnetogram.fits,2014-12-01 06:24:00,harp,4874,True
53391,/SUM82/D744980086/S00000/magnetogram.fits,2015-08-20 14:24:00,harp,5885,True
27316,/SUM93/D1042943233/S00000/magnetogram.fits,2013-08-17 03:12:00,harp,3056,True
61917,/SUM87/D1006908464/S00000/magnetogram.fits,2016-11-18 11:12:00,harp,6838,False
16031,/SUM84/D1038286112/S00000/magnetogram.fits,2012-07-16 00:00:00,harp,1863,False
54046,/SUM73/D755897269/S00000/magnetogram.fits,2015-09-26 14:24:00,harp,5970,False
43079,/SUM54/D662224794/S00000/magnetogram.fits,2014-12-03 20:48:00,harp,4874,True
27565,/SUM89/D1043329686/S00000/magnetogram.fits,2013-08-20 01:36:00,harp,3082,False
48487,/SUM65/D697831305/S00000/magnetogram.fits,2015-04-08 06:24:00,harp,5411,False
2415,/SUM85/D1038034802/S00000/magnetogram.fits,2011-04-04 06:24:00,harp,466,False
5580,/SUM97/D1043073556/S00000/magnetogram.fits,2011-08-01 12:48:00,harp,750,True
5565,/SUM98/D1043050722/S00000/magnetogram.fits,2011-07-29 08:00:00,harp,750,True
1633,/SUM94/D1043275753/S00000/magnetogram.fits,2011-02-15 22:24:00,harp,377,True
60408,/SUM89/D998618302/S00000/magnetogram.fits,2016-07-20 06:24:00,harp,6670,True
32586,/SUM97/D1043145377/S00000/magnetogram.fits,2013-12-21 12:48:00,harp,3497,True
44031,/SUM70/D665461748/S00000/magnetogram.fits,2014-12-18 00:00:00,harp,4941,True
15496,/SUM96/D1037410779/S00000/magnetogram.fits,2012-06-12 16:00:00,harp,1750,True
15839,/SUM98/D1037944855/S00000/magnetogram.fits,2012-07-04 16:00:00,harp,1807,True
1892,/SUM96/D1043853466/S00000/magnetogram.fits,2011-03-08 20:48:00,harp,401,True
18668,/SUM95/D1043433061/S00000/magnetogram.fits,2012-10-27 16:00:00,harp,2144,False
48730,/SUM76/D702074221/S00000/magnetogram.fits,2015-04-21 16:00:00,harp,5447,True
13607,/SUM88/D1041928490/S00000/magnetogram.fits,2012-04-25 00:00:00,harp,1596,False
20966,/SUM99/D1038877821/S00000/magnetogram.fits,2013-01-12 11:12:00,harp,2362,True
48731,/SUM73/D702075847/S00000/magnetogram.fits,2015-04-21 19:12:00,harp,5447,True
53425,/SUM76/D745851586/S00000/magnetogram.fits,2015-08-23 08:00:00,harp,5885,True
13952,/SUM88/D1042706493/S00000/magnetogram.fits,2012-05-08 22:24:00,harp,1638,True
49007,/SUM81/D702068446/S00000/magnetogram.fits,2015-04-21 03:12:00,harp,5483,False
2054,/SUM85/D1044088495/S00000/magnetogram.fits,2011-03-14 06:24:00,harp,407,True
43677,/SUM46/D665588056/S00000/magnetogram.fits,2014-12-14 04:48:00,harp,4920,True
42051,/SUM80/D1114803556/D641154099/S00000/magnetogram.fits,2014-11-06 16:00:00,harp,4764,False
39187,/SUM47/D597846146/S00000/magnetogram.fits,2014-07-09 00:00:00,harp,4344,True
16275,/SUM98/D1038690771/S00000/magnetogram.fits,2012-07-30 09:36:00,harp,1879,True
1793,/SUM93/D1043641819/S00000/magnetogram.fits,2011-03-07 19:12:00,harp,393,True
19423,/SUM90/D1044255489/S00000/magnetogram.fits,2012-11-13 16:00:00,harp,2191,True
20976,/SUM89/D1038883891/S00000/magnetogram.fits,2013-01-13 03:12:00,harp,2362,True
62817,/SUM99/D1009528806/S00000/magnetogram.fits,2017-02-02 08:00:00,harp,6938,False
42155,/SUM72/D1114806210/D641936569/S00000/magnetogram.fits,2014-11-08 11:12:00,harp,4767,False
44063,/SUM19/D665562612/S00000/magnetogram.fits,2014-12-21 03:12:00,harp,4941,True
29971,/SUM88/D1039240153/S00000/magnetogram.fits,2013-10-28 04:48:00,harp,3295,True
16379,/SUM96/D1038912294/S00000/magnetogram.fits,2012-07-29 14:24:00,harp,1893,False
68082,/SUM56/D1306436459/S00000/magnetogram.fits,2020-06-04 11:12:00,harp,7419,False
39913,/SUM16/D609275787/S00000/magnetogram.fits,2014-08-10 14:24:00,harp,4424,False
47260,/SUM34/D688302050/S00000/magnetogram.fits,2015-03-13 14:24:00,harp,5298,True
12613,/SUM88/D1038869079/S00000/magnetogram.fits,2012-02-22 12:48:00,harp,1410,False
34851,/SUM51/D544542963/S00000/magnetogram.fits,2014-02-16 01:36:00,harp,3740,True
59200,/SUM95/D995874154/S00000/magnetogram.fits,2016-05-16 00:00:00,harp,6560,False
49325,/SUM76/D707531664/S00000/magnetogram.fits,2015-05-05 16:00:00,harp,5526,True
25035,/SUM87/D1039174943/S00000/magnetogram.fits,2013-05-31 11:12:00,harp,2809,True
28341,/SUM97/D1037476966/S00000/magnetogram.fits,2013-09-27 04:48:00,harp,3194,False
45343,/SUM98/D1114832524/D665159603/S00000/magnetogram.fits,2015-01-12 04:48:00,harp,5026,True
24025,/SUM84/D1037393765/S00000/magnetogram.fits,2013-05-03 00:00:00,harp,2685,False
17520,/SUM92/D1040664220/S00000/magnetogram.fits,2012-09-06 03:12:00,harp,1993,True
35505,/SUM70/D559612009/S00000/magnetogram.fits,2014-03-29 16:00:00,harp,3894,True
15736,/SUM95/D1037762800/S00000/magnetogram.fits,2012-06-29 06:24:00,harp,1806,True
18614,/SUM94/D1043380701/S00000/magnetogram.fits,2012-11-01 22:24:00,harp,2143,False
43072,/SUM68/D662218282/S00000/magnetogram.fits,2014-12-03 08:00:00,harp,4874,True
40897,/SUM17/D638140094/S00000/magnetogram.fits,2014-10-27 03:12:00,harp,4698,True
29261,/SUM90/D1038421457/S00000/magnetogram.fits,2013-10-17 06:24:00,harp,3258,True
57889,/SUM83/D799596708/S00000/magnetogram.fits,2016-02-19 08:00:00,harp,6353,False
15844,/SUM85/D1037949490/S00000/magnetogram.fits,2012-07-05 01:36:00,harp,1807,True
45345,/SUM63/D665161220/S00000/magnetogram.fits,2015-01-12 08:00:00,harp,5026,True
6117,/SUM89/D1043613710/S00000/magnetogram.fits,2011-08-16 06:24:00,harp,772,False
689,/SUM84/D1041995740/S00000/magnetogram.fits,2010-12-28 22:24:00,harp,317,False
18958,/SUM90/D1043607090/S00000/magnetogram.fits,2012-11-09 01:36:00,harp,2166,False
3834,/SUM93/D1035778030/S00000/magnetogram.fits,2011-06-07 04:48:00,harp,637,True
59190,/SUM94/D995806571/S00000/magnetogram.fits,2016-05-18 14:24:00,harp,6558,False
2371,/SUM88/D1037823724/S00000/magnetogram.fits,2011-03-29 12:48:00,harp,444,False
29600,/SUM90/D1038798787/S00000/magnetogram.fits,2013-10-23 00:00:00,harp,3273,False
55725,/SUM75/D769917963/S00000/magnetogram.fits,2015-11-11 06:24:00,harp,6084,False
16268,/SUM95/D1038683428/S00000/magnetogram.fits,2012-07-29 22:24:00,harp,1879,True
27397,/SUM94/D1043091071/S00000/magnetogram.fits,2013-08-21 04:48:00,harp,3066,False
34348,/SUM71/D541851936/S00000/magnetogram.fits,2014-02-06 03:12:00,harp,3686,True
35011,/SUM68/D549648355/S00000/magnetogram.fits,2014-03-02 01:36:00,harp,3779,True
30677,/SUM85/D1040146107/S00000/magnetogram.fits,2013-11-07 22:24:00,harp,3341,True
16195,/SUM95/D1038470383/S00000/magnetogram.fits,2012-07-25 08:00:00,harp,1873,False
5601,/SUM86/D1043089332/S00000/magnetogram.fits,2011-08-02 22:24:00,harp,750,True
51772,/SUM77/D729747221/S00000/magnetogram.fits,2015-07-07 08:00:00,harp,5738,False
68249,/SUM13/D1322125152/S00000/magnetogram.fits,2020-07-24 09:36:00,harp,7431,False
44014,/SUM13/D665649846/S00000/magnetogram.fits,2014-12-16 17:36:00,harp,4941,True
38013,/SUM3/D588064475/S00000/magnetogram.fits,2014-06-12 17:36:00,harp,4197,True
49321,/SUM77/D707527105/S00000/magnetogram.fits,2015-05-05 09:36:00,harp,5526,True
36446,/SUM20/D568557590/S00000/magnetogram.fits,2014-04-22 22:24:00,harp,4040,False
57608,/SUM79/D798143512/S00000/magnetogram.fits,2016-02-14 03:12:00,harp,6327,True
63333,/SUM97/D1013530906/S00000/magnetogram.fits,2017-04-02 03:12:00,harp,6972,True
48548,/SUM82/D699068039/S00000/magnetogram.fits,2015-04-12 03:12:00,harp,5422,False
37849,/SUM69/D584579085/S00000/magnetogram.fits,2014-06-03 20:48:00,harp,4190,False
14552,/SUM84/D1043520624/S00000/magnetogram.fits,2012-05-24 03:12:00,harp,1669,False
2502,/SUM93/D1038214495/S00000/magnetogram.fits,2011-04-10 08:00:00,harp,488,False
27268,/SUM87/D1042739502/S00000/magnetogram.fits,2013-08-12 09:36:00,harp,3048,True
67552,/SUM62/D1255751858/S00000/magnetogram.fits,2019-12-27 22:24:00,harp,7399,False
7883,/SUM99/D1039234659/S00000/magnetogram.fits,2011-10-17 14:24:00,harp,948,False
57610,/SUM81/D798146205/S00000/magnetogram.fits,2016-02-14 06:24:00,harp,6327,True
5584,/SUM86/D1043076466/S00000/magnetogram.fits,2011-08-01 19:12:00,harp,750,True
24411,/SUM93/D1037921684/S00000/magnetogram.fits,2013-05-08 19:12:00,harp,2727,False
55198,/SUM75/D766678445/S00000/magnetogram.fits,2015-10-31 03:12:00,harp,6052,False
17072,/SUM97/D1039789107/S00000/magnetogram.fits,2012-08-20 19:12:00,harp,1948,False
1614,/SUM87/D1043262451/S00000/magnetogram.fits,2011-02-14 04:48:00,harp,377,True
64533,/SUM93/D979017748/S00000/magnetogram.fits,2017-09-05 16:00:00,harp,7115,True
13681,/SUM92/D1042004689/S00000/magnetogram.fits,2012-04-26 20:48:00,harp,1603,True
29835,/SUM93/D1039056278/S00000/magnetogram.fits,2013-10-24 03:12:00,harp,3291,True
48726,/SUM79/D702070202/S00000/magnetogram.fits,2015-04-21 09:36:00,harp,5447,True
5572,/SUM86/D1043055781/S00000/magnetogram.fits,2011-07-29 20:48:00,harp,750,True
10739,/SUM94/D1044208348/S00000/magnetogram.fits,2011-12-26 17:36:00,harp,1209,True
54320,/SUM80/D756541617/S00000/magnetogram.fits,2015-09-28 08:00:00,harp,5983,True
51553,/SUM74/D724630308/S00000/magnetogram.fits,2015-06-21 19:12:00,harp,5692,True
67081,/SUM34/D1177609682/S00000/magnetogram.fits,2019-05-17 14:24:00,harp,7358,False
10317,/SUM92/D1043615695/S00000/magnetogram.fits,2011-12-10 22:24:00,harp,1165,False
38011,/SUM67/D588061126/S00000/magnetogram.fits,2014-06-12 14:24:00,harp,4197,True
31264,/SUM87/D1041126222/S00000/magnetogram.fits,2013-11-23 04:48:00,harp,3376,True
46204,/SUM6/D670631302/S00000/magnetogram.fits,2015-01-27 14:24:00,harp,5107,True
6718,/SUM94/D1044401565/S00000/magnetogram.fits,2011-09-04 01:36:00,harp,814,True
8953,/SUM93/D1041191170/S00000/magnetogram.fits,2011-11-09 06:24:00,harp,1041,True
66612,/SUM46/D1128262748/S00000/magnetogram.fits,2018-12-15 04:48:00,harp,7326,False
2341,/SUM90/D1037781436/S00000/magnetogram.fits,2011-04-04 01:36:00,harp,443,False
40873,/SUM21/D635813650/S00000/magnetogram.fits,2014-10-25 12:48:00,harp,4698,True
68174,/SUM57/D1308347791/S00000/magnetogram.fits,2020-06-10 08:00:00,harp,7422,False
23560,/SUM92/D1043984934/S00000/magnetogram.fits,2013-04-14 01:36:00,harp,2651,False
571,/SUM91/D1041826925/S00000/magnetogram.fits,2010-12-08 17:36:00,harp,285,False
16822,/SUM88/D1039602744/S00000/magnetogram.fits,2012-08-22 11:12:00,harp,1942,False
34369,/SUM87/D542252595/S00000/magnetogram.fits,2014-01-31 01:36:00,harp,3688,True
24763,/SUM87/D1038435549/S00000/magnetogram.fits,2013-05-21 19:12:00,harp,2739,True
15967,/SUM87/D1038072596/S00000/magnetogram.fits,2012-07-14 01:36:00,harp,1832,False
10974,/SUM95/D1044773920/S00000/magnetogram.fits,2011-12-31 08:00:00,harp,1256,True
24060,/SUM79/D1114137616/D500717745/S00000/magnetogram.fits,2013-04-26 22:24:00,harp,2691,False
51491,/SUM78/D723993483/S00000/magnetogram.fits,2015-06-19 08:00:00,harp,5678,False
16555,/SUM93/D1039034774/S00000/magnetogram.fits,2012-08-08 11:12:00,harp,1903,False
9993,/SUM89/D1043038024/S00000/magnetogram.fits,2011-12-08 16:00:00,harp,1124,False
1912,/SUM91/D1043885481/S00000/magnetogram.fits,2011-03-11 14:24:00,harp,401,True
34616,/SUM68/D542184883/S00000/magnetogram.fits,2014-02-08 22:24:00,harp,3711,False
5114,/SUM85/D1042365445/S00000/magnetogram.fits,2011-07-16 22:24:00,harp,714,False
51936,/SUM73/D729425052/S00000/magnetogram.fits,2015-07-06 04:48:00,harp,5745,True
1669,/SUM93/D1043368476/S00000/magnetogram.fits,2011-02-15 20:48:00,harp,384,True
12856,/SUM95/D1039241752/S00000/magnetogram.fits,2012-03-09 01:36:00,harp,1449,True
6211,/SUM84/D1043686157/S00000/magnetogram.fits,2011-08-18 12:48:00,harp,781,False
38941,/SUM1/D596497543/S00000/magnetogram.fits,2014-07-04 08:00:00,harp,4295,False
65968,/SUM95/D1055844810/S00000/magnetogram.fits,2018-05-13 00:00:00,harp,7254,False
