,Unnamed: 0,magnetogram,T_REC,region_type,region_no,label
1316,1316,/SUM88/D1042980935/S00000/magnetogram.fits,2011-02-08 08:00:00,harp,362,True
4063,4063,/SUM92/D1040702014/S00000/magnetogram.fits,2011-06-10 08:00:00,harp,650,False
44018,44018,/SUM17/D665658718/S00000/magnetogram.fits,2014-12-17 00:00:00,harp,4941,True
56168,56168,/SUM80/D776959543/S00000/magnetogram.fits,2015-12-06 03:12:00,harp,6154,False
35017,35017,/SUM58/D549660177/S00000/magnetogram.fits,2014-03-02 19:12:00,harp,3784,True
37982,37982,/SUM5/D587192391/S00000/magnetogram.fits,2014-06-10 09:36:00,harp,4197,True
27936,27936,/SUM93/D1043724052/S00000/magnetogram.fits,2013-08-23 19:12:00,harp,3116,False
6951,6951,/SUM89/D1037299131/S00000/magnetogram.fits,2011-09-05 08:00:00,harp,833,True
15738,15738,/SUM97/D1037764861/S00000/magnetogram.fits,2012-06-29 12:48:00,harp,1806,True
35508,35508,/SUM3/D670226726/D559600801/S00000/magnetogram.fits,2014-03-29 20:48:00,harp,3894,True
47724,47724,/SUM11/D691762884/S00000/magnetogram.fits,2015-03-22 17:36:00,harp,5342,False
44511,44511,/SUM53/D665588088/S00000/magnetogram.fits,2014-12-26 14:24:00,harp,4955,True
56621,56621,/SUM77/D784416986/S00000/magnetogram.fits,2015-12-30 12:48:00,harp,6205,False
10734,10734,/SUM89/D1044203803/S00000/magnetogram.fits,2011-12-26 09:36:00,harp,1209,True
1607,1607,/SUM95/D1043259921/S00000/magnetogram.fits,2011-02-13 17:36:00,harp,377,True
58492,58492,/SUM99/D994500433/S00000/magnetogram.fits,2016-04-17 08:00:00,harp,6483,True
31261,31261,/SUM88/D1041123526/S00000/magnetogram.fits,2013-11-23 00:00:00,harp,3376,True
36355,36355,/SUM58/D568449906/S00000/magnetogram.fits,2014-04-21 20:48:00,harp,4025,False
33117,33117,/SUM97/D1044253416/S00000/magnetogram.fits,2014-01-06 12:48:00,harp,3563,True
45145,45145,/SUM60/D662007716/S00000/magnetogram.fits,2015-01-03 08:00:00,harp,5011,True
8044,8044,/SUM87/D1039473314/S00000/magnetogram.fits,2011-10-23 04:48:00,harp,970,False
14101,14101,/SUM85/D1042949627/S00000/magnetogram.fits,2012-05-20 01:36:00,harp,1644,False
59927,59927,/SUM90/D997737678/S00000/magnetogram.fits,2016-06-23 11:12:00,harp,6632,False
53442,53442,/SUM82/D746169567/S00000/magnetogram.fits,2015-08-24 11:12:00,harp,5885,True
30904,30904,/SUM88/D1040509382/S00000/magnetogram.fits,2013-11-16 14:24:00,harp,3364,True
41330,41330,/SUM44/D641971366/S00000/magnetogram.fits,2014-10-31 01:36:00,harp,4733,False
17656,17656,/SUM95/D1040904366/S00000/magnetogram.fits,2012-09-07 22:24:00,harp,1999,True
15703,15703,/SUM92/D1037717262/S00000/magnetogram.fits,2012-07-01 14:24:00,harp,1795,False
47295,47295,/SUM44/D689381239/S00000/magnetogram.fits,2015-03-16 09:36:00,harp,5298,True
30674,30674,/SUM94/D1040140580/S00000/magnetogram.fits,2013-11-07 16:00:00,harp,3341,True
8550,8550,/SUM87/D1040331057/S00000/magnetogram.fits,2011-11-05 22:24:00,harp,1016,False
37879,37879,/SUM58/D585320309/S00000/magnetogram.fits,2014-06-05 20:48:00,harp,4190,False
19948,19948,/SUM86/D1037826135/S00000/magnetogram.fits,2012-12-29 04:48:00,harp,2322,False
10973,10973,/SUM95/D1044773182/S00000/magnetogram.fits,2011-12-31 06:24:00,harp,1256,True
5568,5568,/SUM85/D1043052681/S00000/magnetogram.fits,2011-07-29 12:48:00,harp,750,True
51944,51944,/SUM72/D729423180/S00000/magnetogram.fits,2015-07-06 17:36:00,harp,5745,True
49165,49165,/SUM77/D704942619/S00000/magnetogram.fits,2015-04-30 00:00:00,harp,5492,False
39469,39469,/SUM18/D605482040/S00000/magnetogram.fits,2014-07-30 04:48:00,harp,4379,False
49241,49241,/SUM73/D705804456/S00000/magnetogram.fits,2015-05-01 06:24:00,harp,5518,False
54327,54327,/SUM74/D756549047/S00000/magnetogram.fits,2015-09-28 19:12:00,harp,5983,True
24113,24113,/SUM90/D1037468838/S00000/magnetogram.fits,2013-05-03 12:48:00,harp,2693,True
7002,7002,/SUM95/D1037336623/S00000/magnetogram.fits,2011-09-09 00:00:00,harp,833,True
10720,10720,/SUM93/D1044192461/S00000/magnetogram.fits,2011-12-25 09:36:00,harp,1209,True
34824,34824,/SUM57/D545638083/S00000/magnetogram.fits,2014-02-19 14:24:00,harp,3730,True
29973,29973,/SUM96/D1039241440/S00000/magnetogram.fits,2013-10-28 08:00:00,harp,3295,True
30345,30345,/SUM97/D1039618805/S00000/magnetogram.fits,2013-11-03 01:36:00,harp,3321,True
19798,19798,/SUM99/D1037347468/S00000/magnetogram.fits,2012-12-05 11:12:00,harp,2259,False
6440,6440,/SUM90/D1044146206/S00000/magnetogram.fits,2011-08-28 20:48:00,harp,805,False
47080,47080,/SUM20/D681277527/S00000/magnetogram.fits,2015-02-24 03:12:00,harp,5230,False
39228,39228,/SUM4/D599278541/S00000/magnetogram.fits,2014-07-12 04:48:00,harp,4351,False
43427,43427,/SUM65/D665713191/S00000/magnetogram.fits,2014-12-16 06:24:00,harp,4900,False
15834,15834,/SUM92/D1037941436/S00000/magnetogram.fits,2012-07-04 08:00:00,harp,1807,True
20344,20344,/SUM90/D1038223268/S00000/magnetogram.fits,2013-01-05 01:36:00,harp,2341,False
61945,61945,/SUM97/D1006936556/S00000/magnetogram.fits,2016-11-11 04:48:00,harp,6839,False
57339,57339,/SUM81/D794449942/S00000/magnetogram.fits,2016-02-02 01:36:00,harp,6301,False
51222,51222,/SUM75/D724332377/S00000/magnetogram.fits,2015-06-20 11:12:00,harp,5673,True
36321,36321,/SUM65/D568429373/S00000/magnetogram.fits,2014-04-19 12:48:00,harp,4025,False
34209,34209,/SUM58/D542156062/S00000/magnetogram.fits,2014-01-27 22:24:00,harp,3668,False
56728,56728,/SUM78/D786277058/S00000/magnetogram.fits,2016-01-05 01:36:00,harp,6223,False
49328,49328,/SUM72/D708351407/S00000/magnetogram.fits,2015-05-07 20:48:00,harp,5526,False
12870,12870,/SUM95/D1039257554/S00000/magnetogram.fits,2012-03-10 16:00:00,harp,1449,True
11686,11686,/SUM94/D1037786652/S00000/magnetogram.fits,2012-01-22 04:48:00,harp,1321,True
68755,68755,/SUM16/D1345039376/S00000/magnetogram.fits,2020-10-15 03:12:00,harp,7452,False
62986,62986,/SUM91/D1010676159/S00000/magnetogram.fits,2017-02-14 12:48:00,harp,6949,False
46864,46864,/SUM13/D678150963/S00000/magnetogram.fits,2015-02-16 12:48:00,harp,5212,False
19157,19157,/SUM98/D1043782469/S00000/magnetogram.fits,2012-11-10 03:12:00,harp,2173,False
45372,45372,/SUM53/D663558377/S00000/magnetogram.fits,2015-01-07 20:48:00,harp,5028,False
64511,64511,/SUM97/D978183947/S00000/magnetogram.fits,2017-09-03 22:24:00,harp,7115,True
41595,41595,/SUM18/D640113854/S00000/magnetogram.fits,2014-10-30 22:24:00,harp,4750,False
41587,41587,/SUM34/D640128895/S00000/magnetogram.fits,2014-10-30 09:36:00,harp,4750,False
15874,15874,/SUM96/D1037969344/S00000/magnetogram.fits,2012-07-07 06:24:00,harp,1807,True
64514,64514,/SUM90/D978626248/S00000/magnetogram.fits,2017-09-04 03:12:00,harp,7115,True
12847,12847,/SUM88/D1039219597/S00000/magnetogram.fits,2012-03-06 14:24:00,harp,1449,True
57591,57591,/SUM80/D797507502/S00000/magnetogram.fits,2016-02-12 19:12:00,harp,6327,True
43687,43687,/SUM22/D665688635/S00000/magnetogram.fits,2014-12-16 01:36:00,harp,4920,True
53357,53357,/SUM74/D745287877/S00000/magnetogram.fits,2015-08-21 11:12:00,harp,5880,False
12303,12303,/SUM96/D1038509601/S00000/magnetogram.fits,2012-02-10 04:48:00,harp,1390,False
44016,44016,/SUM0/D665653785/S00000/magnetogram.fits,2014-12-16 20:48:00,harp,4941,True
67558,67558,/SUM49/D1256006897/S00000/magnetogram.fits,2019-12-28 08:00:00,harp,7399,False
49021,49021,/SUM79/D702375401/S00000/magnetogram.fits,2015-04-22 03:12:00,harp,5483,False
2052,2052,/SUM88/D1044085145/S00000/magnetogram.fits,2011-03-14 03:12:00,harp,407,True
51546,51546,/SUM74/D724329716/S00000/magnetogram.fits,2015-06-20 16:00:00,harp,5692,True
1299,1299,/SUM89/D1042950659/S00000/magnetogram.fits,2011-02-05 14:24:00,harp,362,False
23804,23804,/SUM97/D1044331425/S00000/magnetogram.fits,2013-04-21 17:36:00,harp,2673,True
29808,29808,/SUM85/D1039039474/S00000/magnetogram.fits,2013-10-22 08:00:00,harp,3291,True
13007,13007,/SUM89/D1040553342/S00000/magnetogram.fits,2012-04-02 22:24:00,harp,1514,False
55214,55214,/SUM78/D767589326/S00000/magnetogram.fits,2015-11-03 08:00:00,harp,6052,True
20138,20138,/SUM89/D1038035203/S00000/magnetogram.fits,2013-01-03 01:36:00,harp,2331,False
39186,39186,/SUM10/D597845405/S00000/magnetogram.fits,2014-07-08 22:24:00,harp,4344,True
16840,16840,/SUM85/D1039611695/S00000/magnetogram.fits,2012-08-23 17:36:00,harp,1942,False
32872,32872,/SUM85/D1043684112/S00000/magnetogram.fits,2013-12-28 11:12:00,harp,3535,True
5562,5562,/SUM92/D1043048733/S00000/magnetogram.fits,2011-07-29 03:12:00,harp,750,True
51223,51223,/SUM79/D724333354/S00000/magnetogram.fits,2015-06-20 12:48:00,harp,5673,True
46346,46346,/SUM1/D670949295/S00000/magnetogram.fits,2015-01-28 14:24:00,harp,5114,False
31716,31716,/SUM99/D1041721831/S00000/magnetogram.fits,2013-12-06 20:48:00,harp,3437,True
51550,51550,/SUM73/D724332754/S00000/magnetogram.fits,2015-06-20 22:24:00,harp,5692,True
47283,47283,/SUM0/D689046012/S00000/magnetogram.fits,2015-03-15 11:12:00,harp,5298,True
36765,36765,/SUM12/D574437138/S00000/magnetogram.fits,2014-05-08 22:24:00,harp,4088,False
35709,35709,/SUM55/D561043816/S00000/magnetogram.fits,2014-04-02 04:48:00,harp,3907,False
15780,15780,/SUM85/D1037800993/S00000/magnetogram.fits,2012-07-04 01:36:00,harp,1806,True
19600,19600,/SUM86/D1044699668/S00000/magnetogram.fits,2012-11-27 17:36:00,harp,2227,True
34324,34324,/SUM64/D541846483/S00000/magnetogram.fits,2014-02-04 04:48:00,harp,3686,True
29443,29443,/SUM87/D1038574309/S00000/magnetogram.fits,2013-10-12 17:36:00,harp,3263,True
61397,61397,/SUM87/D1006883719/S00000/magnetogram.fits,2016-10-08 06:24:00,harp,6794,False
40883,40883,/SUM6/D636249087/S00000/magnetogram.fits,2014-10-26 04:48:00,harp,4698,True
32223,32223,/SUM88/D1042499895/S00000/magnetogram.fits,2013-12-11 22:24:00,harp,3474,False
36631,36631,/SUM21/D572513817/S00000/magnetogram.fits,2014-05-03 19:12:00,harp,4075,False
38711,38711,/SUM10/D594758483/S00000/magnetogram.fits,2014-06-29 17:36:00,harp,4284,False
17680,17680,/SUM95/D1040974669/S00000/magnetogram.fits,2012-09-06 14:24:00,harp,2007,False
31570,31570,/SUM89/D1041570916/S00000/magnetogram.fits,2013-12-01 17:36:00,harp,3420,False
13676,13676,/SUM97/D1042002308/S00000/magnetogram.fits,2012-04-26 11:12:00,harp,1603,True
44007,44007,/SUM36/D665635105/S00000/magnetogram.fits,2014-12-16 06:24:00,harp,4941,True
53461,53461,/SUM79/D747035433/S00000/magnetogram.fits,2015-08-27 04:48:00,harp,5885,True
31262,31262,/SUM86/D1041124367/S00000/magnetogram.fits,2013-11-23 01:36:00,harp,3376,True
35482,35482,/SUM35/D559285924/S00000/magnetogram.fits,2014-03-28 03:12:00,harp,3894,True
1692,1692,/SUM96/D1043394071/S00000/magnetogram.fits,2011-02-18 14:24:00,harp,384,True
44021,44021,/SUM68/D665664861/S00000/magnetogram.fits,2014-12-17 04:48:00,harp,4941,True
29975,29975,/SUM94/D1039242763/S00000/magnetogram.fits,2013-10-28 11:12:00,harp,3295,True
21369,21369,/SUM87/D1039396005/S00000/magnetogram.fits,2013-01-22 20:48:00,harp,2401,False
387,387,/SUM85/D1041435541/S00000/magnetogram.fits,2010-12-01 17:36:00,harp,270,False
51937,51937,/SUM74/D729425782/S00000/magnetogram.fits,2015-07-06 06:24:00,harp,5745,True
5693,5693,/SUM98/D1043288864/S00000/magnetogram.fits,2011-08-08 06:24:00,harp,753,True
26331,26331,/SUM90/D1041343368/S00000/magnetogram.fits,2013-07-16 06:24:00,harp,2966,False
34765,34765,/SUM46/D543737672/S00000/magnetogram.fits,2014-02-14 12:48:00,harp,3721,True
64518,64518,/SUM91/D978625226/S00000/magnetogram.fits,2017-09-04 12:48:00,harp,7115,True
30900,30900,/SUM97/D1040505880/S00000/magnetogram.fits,2013-11-16 08:00:00,harp,3364,True
31678,31678,/SUM99/D1077241001/S00000/magnetogram.fits,2013-12-04 20:48:00,harp,3432,False
27224,27224,/SUM97/D1042637182/S00000/magnetogram.fits,2013-08-06 12:48:00,harp,3032,False
38005,38005,/SUM47/D588048662/S00000/magnetogram.fits,2014-06-12 04:48:00,harp,4197,True
40853,40853,/SUM59/D635456335/S00000/magnetogram.fits,2014-10-24 01:36:00,harp,4698,True
40194,40194,/SUM22/D631338510/S00000/magnetogram.fits,2014-10-12 00:00:00,harp,4640,False
13194,13194,/SUM93/D1041005406/S00000/magnetogram.fits,2012-04-15 14:24:00,harp,1557,False
46245,46245,/SUM95/D1114851487/D670642491/S00000/magnetogram.fits,2015-01-27 20:48:00,harp,5112,False
29458,29458,/SUM84/D1038587725/S00000/magnetogram.fits,2013-10-15 03:12:00,harp,3263,True
48627,48627,/SUM15/D697552091/S00000/magnetogram.fits,2015-04-07 04:48:00,harp,5423,False
15807,15807,/SUM89/D1037920188/S00000/magnetogram.fits,2012-07-02 06:24:00,harp,1807,True
24089,24089,/SUM91/D1037443088/S00000/magnetogram.fits,2013-05-01 06:24:00,harp,2693,True
29256,29256,/SUM95/D1038418743/S00000/magnetogram.fits,2013-10-16 20:48:00,harp,3258,True
53424,53424,/SUM74/D745565634/S00000/magnetogram.fits,2015-08-22 20:48:00,harp,5885,True
28277,28277,/SUM93/D1037392341/S00000/magnetogram.fits,2013-09-25 12:48:00,harp,3192,False
44515,44515,/SUM60/D665597759/S00000/magnetogram.fits,2014-12-26 20:48:00,harp,4955,True
30946,30946,/SUM84/D1040749074/S00000/magnetogram.fits,2013-11-13 00:00:00,harp,3367,False
19589,19589,/SUM84/D1044696547/S00000/magnetogram.fits,2012-11-27 00:00:00,harp,2227,True
37039,37039,/SUM34/D577255831/S00000/magnetogram.fits,2014-05-14 04:48:00,harp,4108,False
13972,13972,/SUM87/D1042728678/S00000/magnetogram.fits,2012-05-10 11:12:00,harp,1638,True
67400,67400,/SUM31/D1242134186/S00000/magnetogram.fits,2019-11-05 03:12:00,harp,7386,False
34945,34945,/SUM52/D553484898/S00000/magnetogram.fits,2014-02-25 20:48:00,harp,3766,True
47413,47413,/SUM1/D689815153/S00000/magnetogram.fits,2015-03-17 04:48:00,harp,5326,False
30770,30770,/SUM91/D1040330349/S00000/magnetogram.fits,2013-11-08 22:24:00,harp,3353,False
14745,14745,/SUM85/D1043753983/S00000/magnetogram.fits,2012-05-28 00:00:00,harp,1688,False
27695,27695,/SUM90/D1043492159/S00000/magnetogram.fits,2013-08-24 16:00:00,harp,3098,False
17204,17204,/SUM94/D1040018808/S00000/magnetogram.fits,2012-08-31 12:48:00,harp,1951,False
12869,12869,/SUM94/D1039256886/S00000/magnetogram.fits,2012-03-10 14:24:00,harp,1449,True
23801,23801,/SUM92/D1044330449/S00000/magnetogram.fits,2013-04-21 12:48:00,harp,2673,True
43061,43061,/SUM49/D662279524/S00000/magnetogram.fits,2014-11-30 14:24:00,harp,4874,True
45544,45544,/SUM19/D667792585/S00000/magnetogram.fits,2015-01-16 22:24:00,harp,5036,False
12754,12754,/SUM89/D1039090349/S00000/magnetogram.fits,2012-02-29 04:48:00,harp,1426,False
27262,27262,/SUM91/D1042736607/S00000/magnetogram.fits,2013-08-12 00:00:00,harp,3048,True
5202,5202,/SUM93/D1042601573/S00000/magnetogram.fits,2011-07-17 19:12:00,harp,728,False
20349,20349,/SUM98/D1038225003/S00000/magnetogram.fits,2013-01-05 09:36:00,harp,2341,False
34853,34853,/SUM70/D544545152/S00000/magnetogram.fits,2014-02-16 04:48:00,harp,3740,True
54222,54222,/SUM78/D756798834/S00000/magnetogram.fits,2015-09-29 12:48:00,harp,5976,False
7527,7527,/SUM85/D1038579157/S00000/magnetogram.fits,2011-10-08 03:12:00,harp,913,False
25787,25787,/SUM84/D1040445374/S00000/magnetogram.fits,2013-07-02 16:00:00,harp,2910,False
9498,9498,/SUM86/D1041878928/S00000/magnetogram.fits,2011-11-16 01:36:00,harp,1080,False
23531,23531,/SUM99/D1043913891/S00000/magnetogram.fits,2013-04-12 12:48:00,harp,2636,True
34825,34825,/SUM61/D545640179/S00000/magnetogram.fits,2014-02-19 16:00:00,harp,3730,True
34328,34328,/SUM64/D541853839/S00000/magnetogram.fits,2014-02-04 11:12:00,harp,3686,True
12851,12851,/SUM98/D1039222842/S00000/magnetogram.fits,2012-03-06 22:24:00,harp,1449,True
63750,63750,/SUM98/D1018808072/S00000/magnetogram.fits,2017-05-07 06:24:00,harp,6999,False
34339,34339,/SUM49/D541852537/S00000/magnetogram.fits,2014-02-05 06:24:00,harp,3686,True
12009,12009,/SUM95/D1038133622/S00000/magnetogram.fits,2012-01-28 17:36:00,harp,1340,False
45134,45134,/SUM9/D661585961/S00000/magnetogram.fits,2015-01-02 14:24:00,harp,5011,True
35494,35494,/SUM53/D559282123/S00000/magnetogram.fits,2014-03-28 22:24:00,harp,3894,True
7022,7022,/SUM93/D1037376305/S00000/magnetogram.fits,2011-09-05 09:36:00,harp,843,False
39235,39235,/SUM16/D599286691/S00000/magnetogram.fits,2014-07-12 16:00:00,harp,4351,False
49127,49127,/SUM81/D704096054/S00000/magnetogram.fits,2015-04-27 08:00:00,harp,5492,False
24775,24775,/SUM96/D1038483642/S00000/magnetogram.fits,2013-05-17 00:00:00,harp,2748,True
67154,67154,/SUM68/D1200119901/S00000/magnetogram.fits,2019-07-12 03:12:00,harp,7379,False
55209,55209,/SUM80/D766681563/S00000/magnetogram.fits,2015-10-31 20:48:00,harp,6052,False
39238,39238,/SUM12/D599277594/S00000/magnetogram.fits,2014-07-12 20:48:00,harp,4351,False
30731,30731,/SUM97/D1040283836/S00000/magnetogram.fits,2013-11-08 03:12:00,harp,3344,True
15529,15529,/SUM96/D1037546196/S00000/magnetogram.fits,2012-06-16 22:24:00,harp,1756,False
6231,6231,/SUM86/D1043913288/S00000/magnetogram.fits,2011-08-23 04:48:00,harp,798,False
55836,55836,/SUM77/D770832536/S00000/magnetogram.fits,2015-11-14 20:48:00,harp,6099,False
1461,1461,/SUM98/D1043158867/S00000/magnetogram.fits,2011-02-12 14:24:00,harp,367,False
50304,50304,/SUM73/D715745640/S00000/magnetogram.fits,2015-05-21 20:48:00,harp,5586,False
30321,30321,/SUM95/D1039603433/S00000/magnetogram.fits,2013-11-01 09:36:00,harp,3321,True
43101,43101,/SUM65/D662247531/S00000/magnetogram.fits,2014-12-05 09:36:00,harp,4874,True
52707,52707,/SUM82/D739247481/S00000/magnetogram.fits,2015-08-03 11:12:00,harp,5823,False
54349,54349,/SUM80/D757228473/S00000/magnetogram.fits,2015-09-30 08:00:00,harp,5983,True
31721,31721,/SUM92/D1041729120/S00000/magnetogram.fits,2013-12-07 04:48:00,harp,3437,True
10670,10670,/SUM99/D1044162392/S00000/magnetogram.fits,2011-12-20 08:00:00,harp,1209,False
376,376,/SUM95/D1041425316/S00000/magnetogram.fits,2010-12-01 00:00:00,harp,270,False
42213,42213,/SUM0/D642127155/S00000/magnetogram.fits,2014-11-09 01:36:00,harp,4781,True
7021,7021,/SUM84/D1037345264/S00000/magnetogram.fits,2011-09-10 06:24:00,harp,833,True
52810,52810,/SUM73/D738348590/S00000/magnetogram.fits,2015-07-31 19:12:00,harp,5830,False
34333,34333,/SUM60/D541880958/S00000/magnetogram.fits,2014-02-04 20:48:00,harp,3686,True
19544,19544,/SUM84/D1044596145/S00000/magnetogram.fits,2012-11-20 08:00:00,harp,2220,True
35078,35078,/SUM37/D548629700/S00000/magnetogram.fits,2014-02-27 22:24:00,harp,3785,False
22787,22787,/SUM85/D1042768272/S00000/magnetogram.fits,2013-03-29 11:12:00,harp,2587,False
4146,4146,/SUM93/D1040768970/S00000/magnetogram.fits,2011-06-07 14:24:00,harp,651,False
43012,43012,/SUM65/D662244113/S00000/magnetogram.fits,2014-12-04 01:36:00,harp,4872,False
19557,19557,/SUM95/D1044605138/S00000/magnetogram.fits,2012-11-21 04:48:00,harp,2220,True
5687,5687,/SUM97/D1043285642/S00000/magnetogram.fits,2011-08-07 20:48:00,harp,753,True
26599,26599,/SUM88/D1041882796/S00000/magnetogram.fits,2013-07-27 09:36:00,harp,2984,False
46216,46216,/SUM35/D670946555/S00000/magnetogram.fits,2015-01-28 17:36:00,harp,5107,True
15736,15736,/SUM95/D1037762800/S00000/magnetogram.fits,2012-06-29 06:24:00,harp,1806,True
1883,1883,/SUM84/D1043838666/S00000/magnetogram.fits,2011-03-07 08:00:00,harp,401,True
54286,54286,/SUM82/D756244955/S00000/magnetogram.fits,2015-09-27 09:36:00,harp,5982,True
63828,63828,/SUM91/D1018806176/S00000/magnetogram.fits,2017-05-11 01:36:00,harp,7003,False
20967,20967,/SUM95/D1038878443/S00000/magnetogram.fits,2013-01-12 12:48:00,harp,2362,True
63327,63327,/SUM84/D1013537688/S00000/magnetogram.fits,2017-04-01 17:36:00,harp,6972,True
34387,34387,/SUM45/D542086731/S00000/magnetogram.fits,2014-02-01 22:24:00,harp,3688,True
23535,23535,/SUM97/D1043917092/S00000/magnetogram.fits,2013-04-12 19:12:00,harp,2636,True
51928,51928,/SUM83/D729143155/S00000/magnetogram.fits,2015-07-05 16:00:00,harp,5745,True
37659,37659,/SUM58/D584188764/S00000/magnetogram.fits,2014-06-02 12:48:00,harp,4186,True
1605,1605,/SUM91/D1043259083/S00000/magnetogram.fits,2011-02-13 14:24:00,harp,377,True
19560,19560,/SUM92/D1044607274/S00000/magnetogram.fits,2012-11-21 09:36:00,harp,2220,True
15809,15809,/SUM92/D1037921534/S00000/magnetogram.fits,2012-07-02 09:36:00,harp,1807,True
23507,23507,/SUM85/D1043757418/S00000/magnetogram.fits,2013-04-10 08:00:00,harp,2635,True
51232,51232,/SUM73/D724629408/S00000/magnetogram.fits,2015-06-21 03:12:00,harp,5673,True
6141,6141,/SUM90/D1043637389/S00000/magnetogram.fits,2011-08-13 20:48:00,harp,781,False
23534,23534,/SUM85/D1043916083/S00000/magnetogram.fits,2013-04-12 17:36:00,harp,2636,True
56903,56903,/SUM79/D787371157/S00000/magnetogram.fits,2016-01-09 06:24:00,harp,6227,False
32876,32876,/SUM90/D1043687327/S00000/magnetogram.fits,2013-12-28 17:36:00,harp,3535,True
45143,45143,/SUM49/D662005476/S00000/magnetogram.fits,2015-01-03 04:48:00,harp,5011,True
34330,34330,/SUM50/D541859957/S00000/magnetogram.fits,2014-02-04 14:24:00,harp,3686,True
5251,5251,/SUM97/D1042675882/S00000/magnetogram.fits,2011-07-22 08:00:00,harp,740,False
51572,51572,/SUM81/D725677942/S00000/magnetogram.fits,2015-06-24 16:00:00,harp,5692,True
16272,16272,/SUM90/D1038687618/S00000/magnetogram.fits,2012-07-30 04:48:00,harp,1879,True
45293,45293,/SUM5/D663893129/S00000/magnetogram.fits,2015-01-08 09:36:00,harp,5022,False
36752,36752,/SUM12/D573969101/S00000/magnetogram.fits,2014-05-08 00:00:00,harp,4088,False
19539,19539,/SUM86/D1044592885/S00000/magnetogram.fits,2012-11-20 00:00:00,harp,2220,True
51941,51941,/SUM77/D729420709/S00000/magnetogram.fits,2015-07-06 12:48:00,harp,5745,True
45140,45140,/SUM71/D661579510/S00000/magnetogram.fits,2015-01-03 00:00:00,harp,5011,True
29440,29440,/SUM92/D1038573145/S00000/magnetogram.fits,2013-10-12 12:48:00,harp,3263,True
30588,30588,/SUM93/D1039843692/S00000/magnetogram.fits,2013-11-05 20:48:00,harp,3330,False
30340,30340,/SUM93/D1039616174/S00000/magnetogram.fits,2013-11-02 17:36:00,harp,3321,True
18255,18255,/SUM96/D1042580286/S00000/magnetogram.fits,2012-10-09 14:24:00,harp,2107,False
24673,24673,/SUM92/D1038251695/S00000/magnetogram.fits,2013-05-18 00:00:00,harp,2737,False
36091,36091,/SUM15/D568467983/S00000/magnetogram.fits,2014-04-18 11:12:00,harp,3999,True
40331,40331,/SUM17/D631335518/S00000/magnetogram.fits,2014-10-11 14:24:00,harp,4667,False
47954,47954,/SUM0/D692600662/S00000/magnetogram.fits,2015-03-24 03:12:00,harp,5351,False
12855,12855,/SUM87/D1039240987/S00000/magnetogram.fits,2012-03-09 00:00:00,harp,1449,True
20891,20891,/SUM89/D1038702334/S00000/magnetogram.fits,2013-01-15 01:36:00,harp,2358,False
35478,35478,/SUM45/D559074322/S00000/magnetogram.fits,2014-03-27 20:48:00,harp,3894,True
24967,24967,/SUM89/D1038984785/S00000/magnetogram.fits,2013-06-05 00:00:00,harp,2779,False
2977,2977,/SUM87/D1039176134/S00000/magnetogram.fits,2011-05-08 09:36:00,harp,576,False
